ID,Title,Company,Location,Condition,Job Date,Badge,Apply URL
48997535,KB데이타시스템(KB금융그룹 IT계열사) 각 부문 신입 및 경력사원 모집,(주)케이비데이타시스템,서울 마포구,신입·경력 학력무관 정규직,~ 09/29(일),기획·전략 지원 TOP100,https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=48997535
48892544,[제주]데이터 분석 및 모델 개발 계약직/정규직 모집,(주)네피리티,제주 제주시,신입·경력 학력무관 정규직·계약직,~ 09/26(목),연봉상승률 20% 이상,https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=48892544
48931269,로보로보코딩랩 수업강사 모집공고,(주)로보로보,서울 송파구,"경력1년↑ 대졸↑ 파트 15,000 원",~ 10/02(수),연봉상승률 10% 이상,https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=48931269
48999134,[과천/연봉협의/정규직]유명 중견기업 SW엔지니어(AI분야) 채용,템프인(주),경기 안양시 동안구,경력5년↑ 학력무관 정규직,~ 10/11(금),급성장중,https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=48999134
48722967,[리디 주식회사] 백엔드 개발 그룹장 모집,리디(주),서울 강남구,경력 15~20년 학력무관 정규직,~ 09/30(월),"1,000억 이상 투자유치",https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=48722967
48940549,(주)데이터마케팅코리아 2024 AI/Fullstack Developer 직무 채용,(주)데이터마케팅코리아,서울 강남구,경력3년↑ 초대졸↑ 정규직,상시채용,재택근무,https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=48940549
48870774,일본 법인 GxD (장기 파견 BI 인력) 경력 수시채용,지니너스(주),서울 송파구,경력 5~15년 대졸↑ 정규직,상시채용,IPO 투자유치,https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=48870774
48974328,코스닥/Digital ID 오픈소스 (안드로이드) 개발(6~10년),(주)투비파트너즈,서울 서초구,경력 6~10년 대졸↑ 정규직,내일마감,급성장중,https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=48974328
48964216,"S/W QA & Test Engineer (신입, 영어 능숙자) 채용의 件",컴즈(주),서울 강서구,신입 초대졸↑ 정규직,~ 10/06(일),급성장중,https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=48964216
48669377,(병역특례가능) Vision AI Application Engineer,(주)옵트에이아이,서울 강서구,경력무관 석사↑ 정규직·전문연구요원,상시채용,,https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=48669377
48942885,산업용 센서 및 시스템 소프트웨어 개발,(주)프리콘,경기 안산시 단원구,"경력3년↑ 초대졸↑ 정규직 3,500 만원",~ 10/03(목),급성장중,https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=48942885
47150150,IT Engineer,(주)뮤직카우,서울 중구,경력 3~5년 대졸↑ 정규직,~ 12/31(화),"1,000억 이상 투자유치",https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=47150150
47083504,Back-end Developer (백엔드 개발자),(주)뮤직카우,서울 중구,경력 5~15년 대졸↑ 정규직,~ 12/31(화),"1,000억 이상 투자유치",https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=47083504
